 ,Datetime,Open,High,Low,Close,Volume
0,2020-05-27 04:15:00-04:00,183.26,183.5,183.11,183.5,0
1,2020-05-27 04:17:00-04:00,183.11,183.11,183.02,183.02,0
2,2020-05-27 04:19:00-04:00,183.47,183.5,183.47,183.5,0
3,2020-05-27 04:25:00-04:00,183.4,183.4,183.4,183.4,0
4,2020-05-27 04:28:00-04:00,183.41,183.41,183.4,183.4,0
5,2020-05-27 04:30:00-04:00,183.25,183.25,183.25,183.25,0
6,2020-05-27 04:42:00-04:00,183.21,183.21,183.21,183.21,0
7,2020-05-27 04:57:00-04:00,183.35,183.35,183.35,183.35,0
8,2020-05-27 05:00:00-04:00,183.04,183.05,183.04,183.04,0
9,2020-05-27 05:01:00-04:00,183.34,183.34,183.27,183.33,0
10,2020-05-27 05:02:00-04:00,183.34,183.34,183.34,183.34,0
11,2020-05-27 05:04:00-04:00,183.33,183.33,183.33,183.33,0
12,2020-05-27 05:07:00-04:00,183.07,183.07,183.06,183.06,0
13,2020-05-27 05:09:00-04:00,183.32,183.33,183.32,183.33,0
14,2020-05-27 05:10:00-04:00,183.02,183.02,182.82,182.82,0
15,2020-05-27 05:14:00-04:00,183.0,183.0,183.0,183.0,0
16,2020-05-27 05:22:00-04:00,183.2,183.2,183.2,183.2,0
17,2020-05-27 05:23:00-04:00,183.2,183.2,183.2,183.2,0
18,2020-05-27 05:27:00-04:00,183.34,183.34,183.34,183.34,0
19,2020-05-27 05:28:00-04:00,183.34,183.34,183.34,183.34,0
20,2020-05-27 05:29:00-04:00,183.33,183.34,183.29,183.3,0
21,2020-05-27 05:34:00-04:00,183.33,183.34,183.33,183.34,0
22,2020-05-27 05:37:00-04:00,183.33,183.34,183.33,183.34,0
23,2020-05-27 05:38:00-04:00,183.22,183.22,183.11,183.11,0
24,2020-05-27 05:44:00-04:00,183.48,183.48,183.48,183.48,0
25,2020-05-27 05:46:00-04:00,183.46,183.46,183.46,183.46,0
26,2020-05-27 05:48:00-04:00,183.45,183.45,183.45,183.45,0
27,2020-05-27 05:53:00-04:00,183.44,183.44,183.44,183.44,0
28,2020-05-27 05:54:00-04:00,183.44,183.46,183.44,183.46,0
29,2020-05-27 05:55:00-04:00,183.48,183.48,183.48,183.48,0
30,2020-05-27 05:56:00-04:00,183.48,183.48,183.48,183.48,0
31,2020-05-27 05:57:00-04:00,183.48,183.48,183.48,183.48,0
32,2020-05-27 06:00:00-04:00,183.46,183.46,183.46,183.46,0
33,2020-05-27 06:02:00-04:00,183.48,183.48,183.48,183.48,0
34,2020-05-27 06:03:00-04:00,183.48,183.48,183.48,183.48,0
35,2020-05-27 06:04:00-04:00,183.4,183.4,183.4,183.4,0
36,2020-05-27 06:11:00-04:00,183.3,183.3,183.3,183.3,0
37,2020-05-27 06:15:00-04:00,183.23,183.32,183.23,183.25,0
38,2020-05-27 06:18:00-04:00,183.27,183.27,183.26,183.26,0
39,2020-05-27 06:19:00-04:00,183.37,183.38,183.37,183.38,0
40,2020-05-27 06:23:00-04:00,183.28,183.28,183.28,183.28,0
41,2020-05-27 06:25:00-04:00,183.28,183.28,183.28,183.28,0
42,2020-05-27 06:38:00-04:00,183.16,183.16,183.16,183.16,0
43,2020-05-27 06:39:00-04:00,183.17,183.17,183.17,183.17,0
44,2020-05-27 06:41:00-04:00,183.18,183.18,183.17,183.17,0
45,2020-05-27 06:44:00-04:00,183.24,183.24,183.24,183.24,0
46,2020-05-27 06:46:00-04:00,183.19,183.19,183.19,183.19,0
47,2020-05-27 06:48:00-04:00,183.23,183.23,183.23,183.23,0
48,2020-05-27 06:50:00-04:00,183.23,183.25,183.23,183.25,0
49,2020-05-27 06:51:00-04:00,183.25,183.25,183.25,183.25,0
50,2020-05-27 06:52:00-04:00,183.24,183.24,183.24,183.24,0
