Datetime,Open,High,Low,Close,Volume
2020-05-26 18:35:00-04:00,181.77,181.9,181.77,181.9,0
2020-05-26 18:39:00-04:00,181.78,181.78,181.78,181.78,0
2020-05-26 18:41:00-04:00,181.82,181.82,181.82,181.82,0
2020-05-26 18:46:00-04:00,181.76,181.77,181.76,181.77,0
2020-05-26 18:55:00-04:00,181.75,181.77,181.75,181.77,0
2020-05-26 18:58:00-04:00,181.9,181.9,181.9,181.9,0
2020-05-26 18:59:00-04:00,181.9,181.9,181.9,181.9,0
2020-05-26 19:00:00-04:00,181.94,181.94,181.94,181.94,0
2020-05-26 19:10:00-04:00,181.85,181.85,181.85,181.85,0
2020-05-26 19:11:00-04:00,181.85,181.85,181.85,181.85,0
2020-05-26 19:12:00-04:00,181.8999,181.8999,181.8999,181.8999,0
2020-05-26 19:13:00-04:00,181.9,181.9,181.9,181.9,0
2020-05-26 19:17:00-04:00,181.9,181.9,181.9,181.9,0
2020-05-26 19:19:00-04:00,181.81,181.83,181.72,181.83,0
2020-05-26 19:24:00-04:00,181.71,181.71,181.7,181.7,0
2020-05-26 19:25:00-04:00,181.68,181.68,181.6,181.6,0
2020-05-26 19:28:00-04:00,181.62,181.62,181.62,181.62,0
2020-05-26 19:31:00-04:00,181.58,181.58,181.58,181.58,0
2020-05-26 19:32:00-04:00,181.67,181.67,181.67,181.67,0
2020-05-26 19:33:00-04:00,181.6,181.6,181.6,181.6,0
2020-05-26 19:34:00-04:00,181.5999,181.6,181.58,181.58,0
2020-05-26 19:35:00-04:00,181.6,181.6,181.6,181.6,0
2020-05-26 19:39:00-04:00,181.6,181.6,181.6,181.6,0
2020-05-26 19:40:00-04:00,181.6,181.6,181.6,181.6,0
2020-05-26 19:41:00-04:00,181.56,181.56,181.56,181.56,0
2020-05-26 19:43:00-04:00,181.54,181.54,181.5,181.5,0
2020-05-26 19:44:00-04:00,181.54,181.54,181.54,181.54,0
2020-05-26 19:46:00-04:00,181.51,181.51,181.51,181.51,0
2020-05-26 19:49:00-04:00,181.5,181.5001,181.5,181.5001,0
2020-05-26 19:50:00-04:00,181.5,181.5,181.46,181.46,0
2020-05-26 19:51:00-04:00,181.46,181.46,181.46,181.46,0
2020-05-26 19:52:00-04:00,181.57,181.57,181.5001,181.57,0
2020-05-26 19:53:00-04:00,181.57,181.57,181.57,181.57,0
2020-05-26 19:54:00-04:00,181.57,181.57,181.57,181.57,0
2020-05-26 19:55:00-04:00,181.67,181.67,181.67,181.67,0
2020-05-26 19:56:00-04:00,181.67,181.67,181.67,181.67,0
2020-05-26 19:57:00-04:00,181.57,181.57,181.57,181.57,0
2020-05-26 19:59:00-04:00,181.8,181.8,181.8,181.8,0
2020-05-27 04:15:00-04:00,183.26,183.5,183.11,183.5,0
2020-05-27 04:17:00-04:00,183.11,183.11,183.02,183.02,0
2020-05-27 04:19:00-04:00,183.47,183.5,183.47,183.5,0
2020-05-27 04:25:00-04:00,183.4,183.4,183.4,183.4,0
2020-05-27 04:28:00-04:00,183.41,183.41,183.4,183.4,0
2020-05-27 04:30:00-04:00,183.25,183.25,183.25,183.25,0
2020-05-27 04:42:00-04:00,183.21,183.21,183.21,183.21,0
2020-05-27 04:57:00-04:00,183.35,183.35,183.35,183.35,0
2020-05-27 05:01:00-04:00,183.34,183.34,183.27,183.33,0
2020-05-27 05:02:00-04:00,183.34,183.34,183.34,183.34,0
2020-05-27 05:04:00-04:00,183.33,183.33,183.33,183.33,0
2020-05-27 05:07:00-04:00,183.07,183.07,183.06,183.06,0
2020-05-27 05:09:00-04:00,183.32,183.33,183.32,183.33,0
2020-05-27 05:10:00-04:00,183.02,183.02,182.82,182.82,0
2020-05-27 05:15:00-04:00,183.04,183.05,183.04,183.05,0
2020-05-27 05:29:00-04:00,183.0,183.0,183.0,183.0,0
2020-05-27 05:37:00-04:00,183.2,183.2,183.2,183.2,0
2020-05-27 05:38:00-04:00,183.2,183.2,183.2,183.2,0
2020-05-27 05:42:00-04:00,183.34,183.34,183.34,183.34,0
2020-05-27 05:43:00-04:00,183.34,183.34,183.34,183.34,0
2020-05-27 05:44:00-04:00,183.33,183.34,183.29,183.3,0
2020-05-27 05:49:00-04:00,183.33,183.34,183.33,183.34,0
2020-05-27 05:52:00-04:00,183.33,183.34,183.33,183.34,0
2020-05-27 05:53:00-04:00,183.22,183.22,183.11,183.11,0
2020-05-27 05:59:00-04:00,183.48,183.48,183.48,183.48,0
2020-05-27 06:01:00-04:00,183.46,183.46,183.46,183.46,0
2020-05-27 06:03:00-04:00,183.45,183.45,183.45,183.45,0
2020-05-27 06:08:00-04:00,183.44,183.44,183.44,183.44,0
2020-05-27 06:09:00-04:00,183.44,183.46,183.44,183.46,0
2020-05-27 06:10:00-04:00,183.48,183.48,183.48,183.48,0
2020-05-27 06:11:00-04:00,183.48,183.48,183.48,183.48,0
2020-05-27 06:12:00-04:00,183.48,183.48,183.48,183.48,0
2020-05-27 06:15:00-04:00,183.46,183.46,183.46,183.46,0
2020-05-27 06:17:00-04:00,183.48,183.48,183.48,183.48,0
2020-05-27 06:18:00-04:00,183.48,183.48,183.48,183.48,0
2020-05-27 06:19:00-04:00,183.4,183.4,183.4,183.4,0
2020-05-27 06:26:00-04:00,183.3,183.3,183.3,183.3,0
2020-05-27 06:30:00-04:00,183.23,183.32,183.23,183.25,0
2020-05-27 06:33:00-04:00,183.27,183.27,183.26,183.26,0
2020-05-27 06:34:00-04:00,183.37,183.38,183.37,183.38,0
2020-05-27 06:38:00-04:00,183.28,183.28,183.28,183.28,0
2020-05-27 06:40:00-04:00,183.28,183.28,183.28,183.28,0
2020-05-27 06:53:00-04:00,183.16,183.16,183.16,183.16,0
2020-05-27 06:54:00-04:00,183.17,183.17,183.17,183.17,0
2020-05-27 06:56:00-04:00,183.18,183.18,183.17,183.17,0
2020-05-27 06:59:00-04:00,183.24,183.24,183.24,183.24,0
2020-05-27 07:01:00-04:00,183.19,183.19,183.19,183.19,0
2020-05-27 07:03:00-04:00,183.23,183.23,183.23,183.23,0
2020-05-27 07:05:00-04:00,183.23,183.25,183.23,183.25,0
2020-05-27 07:06:00-04:00,183.25,183.25,183.25,183.25,0
2020-05-27 07:07:00-04:00,183.24,183.24,183.24,183.24,0
2020-05-27 07:09:00-04:00,183.23,183.23,183.23,183.23,0
2020-05-27 07:11:00-04:00,183.13,183.13,183.1,183.1,0
2020-05-27 07:12:00-04:00,183.23,183.24,183.23,183.24,0
2020-05-27 07:14:00-04:00,183.24,183.24,183.24,183.24,0
2020-05-27 07:15:00-04:00,183.15,183.24,182.9,183.0,0
2020-05-27 07:16:00-04:00,183.1,183.1,182.56,182.68,0
2020-05-27 07:19:00-04:00,182.83,182.97,182.83,182.97,0
2020-05-27 07:20:00-04:00,182.9,183.0,182.75,182.75,0
2020-05-27 07:21:00-04:00,182.76,182.93,182.76,182.9,0
2020-05-27 07:23:00-04:00,182.95,182.97,182.95,182.97,0
2020-05-27 07:24:00-04:00,182.97,182.97,182.76,182.76,0
2020-05-27 07:26:00-04:00,182.77,182.77,182.75,182.75,0
2020-05-27 07:27:00-04:00,182.75,182.75,182.72,182.72,0
2020-05-27 07:28:00-04:00,182.56,182.56,182.55,182.55,0
2020-05-27 07:29:00-04:00,182.51,182.68,182.5,182.67,0
2020-05-27 07:30:00-04:00,182.51,182.68,182.5,182.52,0
2020-05-27 07:31:00-04:00,182.49,182.6,182.44,182.6,0
2020-05-27 07:33:00-04:00,182.37,182.37,182.37,182.37,0
2020-05-27 07:34:00-04:00,182.38,182.38,182.3,182.3,0
2020-05-27 07:40:00-04:00,182.55,182.59,182.55,182.59,0
2020-05-27 07:43:00-04:00,182.6,182.6,182.6,182.6,0
2020-05-27 07:44:00-04:00,182.5,182.5,182.5,182.5,0
2020-05-27 07:46:00-04:00,182.5,182.5,182.3,182.3,0
2020-05-27 07:50:00-04:00,182.54,182.54,182.54,182.54,0
2020-05-27 07:51:00-04:00,182.51,182.51,182.3,182.3,0
2020-05-27 07:55:00-04:00,182.42,182.42,182.42,182.42,0
2020-05-27 07:59:00-04:00,182.26,182.26,182.05,182.05,0
2020-05-27 08:00:00-04:00,182.12,182.12,182.11,182.11,0
2020-05-27 08:02:00-04:00,182.18,182.22,182.17,182.22,0
2020-05-27 08:04:00-04:00,182.2,182.2,182.11,182.2,0
2020-05-27 08:05:00-04:00,182.2,182.23,182.2,182.23,0
2020-05-27 08:06:00-04:00,182.22,182.22,182.14,182.2,0
2020-05-27 08:07:00-04:00,182.2,182.35,182.2,182.35,0
2020-05-27 08:11:00-04:00,182.16,182.16,182.1,182.1,0
2020-05-27 08:12:00-04:00,182.13,182.15,182.1,182.1,0
2020-05-27 08:14:00-04:00,182.1,182.1,182.1,182.1,0
2020-05-27 08:15:00-04:00,182.29,183.1,182.0953,182.137,0
2020-05-27 08:17:00-04:00,182.3,182.3,182.25,182.25,0
2020-05-27 08:18:00-04:00,182.25,182.25,182.0,182.0,0
2020-05-27 08:19:00-04:00,182.01,182.01,181.9995,181.9995,0
2020-05-27 08:20:00-04:00,182.07,182.07,181.83,182.0,0
2020-05-27 08:22:00-04:00,181.8,181.9,181.8,181.9,0
2020-05-27 08:23:00-04:00,181.9,181.9,181.9,181.9,0
2020-05-27 08:24:00-04:00,181.97,182.0,181.97,182.0,0
2020-05-27 08:25:00-04:00,182.01,182.01,182.01,182.01,0
