,Unnamed: 0,Unnamed: 0.1,Datetime,Open,High,Low,Close,Volume,ma,moving average 5,moving average 10,moving average 20
0,0,0,2020-05-26 04:15:00-04:00,186.7,186.85,186.7,186.85,0,186.85,186.85,0.0,186.85
1,1,1,2020-05-26 04:16:00-04:00,186.7,186.82,186.65,186.82,0,186.835,186.835,0.01500000000001478,186.835
2,2,2,2020-05-26 04:18:00-04:00,186.99,186.99,186.99,186.99,0,186.887,186.887,-0.10300000000000864,186.887
3,3,3,2020-05-26 04:21:00-04:00,186.65,186.65,186.65,186.65,0,186.828,186.828,0.17799999999999727,186.828
4,4,4,2020-05-26 04:23:00-04:00,186.76,186.76,186.6,186.6,0,186.782,186.782,0.18200000000001637,186.782
5,5,5,2020-05-26 04:25:00-04:00,186.6,186.6,186.6,186.6,0,186.752,186.732,0.15200000000001523,186.752
6,6,6,2020-05-26 04:30:00-04:00,186.79,186.79,186.67,186.67,0,186.74,186.702,0.0700000000000216,186.74
7,7,7,2020-05-26 04:32:00-04:00,186.9,186.9,186.9,186.9,0,186.76,186.684,-0.14000000000001478,186.76
8,8,8,2020-05-26 04:35:00-04:00,186.96,187.0,186.96,187.0,0,186.787,186.754,-0.21299999999999386,186.787
9,9,9,2020-05-26 04:36:00-04:00,186.88,186.98,186.88,186.98,0,186.806,186.83,-0.17399999999997817,186.806
10,10,10,2020-05-26 04:37:00-04:00,186.97,186.99,186.97,186.99,0,186.82,186.908,-0.11899999999999977,186.823
11,11,11,2020-05-26 04:45:00-04:00,186.98,186.98,186.98,186.98,0,186.836,186.97,-0.08799999999999386,186.836
12,12,12,2020-05-26 04:48:00-04:00,186.74,186.74,186.74,186.74,0,186.811,186.938,0.12299999999999045,186.828
13,13,13,2020-05-26 04:56:00-04:00,186.7,186.7,186.7,186.7,0,186.816,186.878,0.13100000000000023,186.819
14,14,14,2020-05-26 04:58:00-04:00,186.83,186.83,186.7,186.7,0,186.826,186.822,0.10600000000002296,186.811
15,15,15,2020-05-26 04:59:00-04:00,186.83,186.83,186.83,186.83,0,186.849,186.79,-0.019000000000005457,186.812
16,16,16,2020-05-26 05:01:00-04:00,186.71,186.71,186.71,186.71,0,186.853,186.736,0.08199999999999363,186.806
